fl,tl,TL - FL,w,pit,sx,d,m,y,site,,,,,,,,,,,,,,,,,
251,285,34,163,9.00228E+14,f,8,5,2017,cbcl,,,,,,,,,,,,,,,,,
252,287,35,238,9.00228E+14,f,8,5,2017,cbcl,,,,,,,,,,,,,,,,,
235,270,35,188,9.00228E+14,m,8,5,2017,cbcl,,,,,,,,,,,,,,,,,
210,236,26,116,9.00228E+14,m,8,5,2017,cbcl,,,,,,,,,,,,,,,,,
198,229,31,106,9.00228E+14,m,8,5,2017,cbcl,,,,,,,,,,,,,,,,,
259,298,39,255,9.00228E+14,f,8,5,2017,cbcl,,,,,,,,,,,,,,,,,
237,266,29,190,9.00228E+14,m,8,5,2017,cbcl,,,,,,,,,,,,,,,,,
260,288,28,266,9.00228E+14,f,8,5,2017,cbcl,,,,,,,,,,,,,,,,,
259,291,32,222,9.00228E+14,m,8,5,2017,cbcl,,,,,,,,,,,,,,,,,
248,286,38,213,9.00228E+14,f,8,5,2017,cbcl,,,,,,,,,,,,,,,,,
247,284,37,255,9.00228E+14,f,8,5,2017,cbcl,,,,,,,,,,,,,,,,,
226,261,35,161,9.00228E+14,m,8,5,2017,cbcl,,,,,,,,,,,,,,,,,
235,267,32,197,9.00228E+14,m,8,5,2017,cbcl,,,,,,,,,,,,,,,,,
247,284,37,207,9.00228E+14,f,8,5,2017,cbcl,,,,,,,,,,,,,,,,,
258,294,36,259,9.00228E+14,f,8,5,2017,cbcl,,,,,,,,,,,,,,,,,
236,271,35,194,9.00228E+14,m,8,5,2017,cbcl,,,,,,,,,,,,,,,,,
252,275,23,197,9.00228E+14,m,8,5,2017,cbcl,,,,,,,,,,,,,,,,,
269,296,27,253,9.00228E+14,m,8,5,2017,cbcl,,,,,,,,,,,,,,,,,
243,276,33,189,9.00228E+14,m,8,5,2017,cbcl,,,,,,,,,,,,,,,,,
240,273,33,207,9.00228E+14,m,8,5,2017,cbcl,,,,,,,,,,,,,,,,,
240,275,35,192,9.00228E+14,m,8,5,2017,cbcl,,,,,,,,,,,,,,,,,
