,Date,enter,Height,Time,h
1,5/10/2017 0:00,5/10/2017,7.7,0:00:00,0
2,5/10/2017 1:00,5/10/2017,6.72,1:00:00,1
3,5/10/2017 2:00,5/10/2017,5.29,2:00:00,2
4,5/10/2017 3:00,5/10/2017,3.61,3:00:00,3
5,5/10/2017 4:00,5/10/2017,2.12,4:00:00,4
6,5/10/2017 5:00,5/10/2017,1.22,5:00:00,5
7,5/10/2017 6:00,5/10/2017,1.23,6:00:00,6
8,5/10/2017 7:00,5/10/2017,2.05,7:00:00,7
9,5/10/2017 8:00,5/10/2017,3.46,8:00:00,8
10,5/10/2017 9:00,5/10/2017,5.1,9:00:00,9
11,5/10/2017 10:00,5/10/2017,6.66,10:00:00,10
12,5/10/2017 11:00,5/10/2017,7.52,11:00:00,11
13,5/10/2017 12:00,5/10/2017,7.6,12:00:00,12
14,5/10/2017 13:00,5/10/2017,6.92,13:00:00,13
15,5/10/2017 14:00,5/10/2017,5.72,14:00:00,14
16,5/10/2017 15:00,5/10/2017,4.19,15:00:00,15
17,5/10/2017 16:00,5/10/2017,2.67,16:00:00,16
18,5/10/2017 17:00,5/10/2017,1.6,17:00:00,17
19,5/10/2017 18:00,5/10/2017,1.41,18:00:00,18
20,5/10/2017 19:00,5/10/2017,2.01,19:00:00,19
21,5/10/2017 20:00,5/10/2017,3.27,20:00:00,20
22,5/10/2017 21:00,5/10/2017,4.89,21:00:00,21
23,5/10/2017 22:00,5/10/2017,6.54,22:00:00,22
24,5/10/2017 23:00,5/10/2017,7.62,23:00:00,23
25,5/11/2017 0:00,5/11/2017,7.93,0:00:00,0
26,5/11/2017 1:00,5/11/2017,7.42,1:00:00,1
27,5/11/2017 2:00,5/11/2017,6.23,2:00:00,2
28,5/11/2017 3:00,5/11/2017,4.66,3:00:00,3
29,5/11/2017 4:00,5/11/2017,2.96,4:00:00,4
30,5/11/2017 5:00,5/11/2017,1.65,5:00:00,5
31,5/11/2017 6:00,5/11/2017,1.14,6:00:00,6
32,5/11/2017 7:00,5/11/2017,1.48,7:00:00,7
33,5/11/2017 8:00,5/11/2017,2.5,8:00:00,8
34,5/11/2017 9:00,5/11/2017,4.03,9:00:00,9
35,5/11/2017 10:00,5/11/2017,5.72,10:00:00,10
36,5/11/2017 11:00,5/11/2017,7.04,11:00:00,11
37,5/11/2017 12:00,5/11/2017,7.6,12:00:00,12
38,5/11/2017 13:00,5/11/2017,7.4,13:00:00,13
39,5/11/2017 14:00,5/11/2017,6.48,14:00:00,14
40,5/11/2017 15:00,5/11/2017,5.13,15:00:00,15
